,,,,,,,,,,,,,BPMS Components (For Blockchain Tasks),,,,,Resource Allocation,,,,,,,,On-Chain Integrity,,,,Evaluatiom Metrics,,,,,,,,
Included,ID,Citekey,Year,Authors,Title,ID,DOI,Base-Tool,Implementation,Blockchain Selection,Model,BPMN Elements,External Services,Worklist,Monitoring,Modelling tool,Model Repository,Strategy,At,Assig. Cap.,Enforcement,Process Flexibility,Control-Flow Enforcement,Temportal Const. Enf.,Token-Transfer Enf.,Exec. Trace,Model,Instance Data,Evaluation Method,Finality,Correctness,Cost,Throughput,Qualitative,Replication Pckg.,Open Sourced,Comments,Double-Checked
FALSE,,,2019,"W Viriyasitavat, D Hoonsopon",Blockchain characteristics and consensus in modern business processes,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,0,ladleifModelingEnforcingBlockchainBased2019,2019,"J Ladleif, M Weske, I Weber",Modeling and enforcing blockchain-based choreographies,,10.1007/978-3-030-26619-6_7,,MDE,Ethereum Smart Contract,BPMN Choreography diagram,"Task, Script Task, Data Object, X, +, Event-based Gateway, ",TRUE,FALSE,FALSE,FALSE,FALSE,Role-based,Instantiation,,TRUE,,Data-Based Routing,TRUE,FALSE,TRUE,FALSE,TRUE,Case Study,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,TRUE
TRUE,1,garcia-banuelosOptimizedExecutionBusiness2017a,2017,"L García-Bañuelos, A Ponomarev, M Dumas…",Optimized execution of business processes on blockchain,Optimized execution of business processes on blockchain,10.1007/978-3-319-65000-5_8,,MDE,Ethereum Smart Contract,BPMN Process diagram,"Task, Script Task, User Task, Message Events (unclear if both catching and throwing), X, +, Event-Based Gateway",FALSE,FALSE,FALSE,FALSE,FALSE,,,1-1,FALSE,,Data-Based Routing,FALSE,FALSE,TRUE,FALSE,TRUE,Case Study,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Focus is on optimzed compilation, Does not describe resource or BPMS aspetcs.",TRUE
FALSE,,,2020,"R Yang, R Wakefield, S Lyu, S Jayasuriya, F Han…",Public and private blockchain in construction business process and information integration,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2020,"W Viriyasitavat, L Da Xu, Z Bi…",Blockchain-based business process management (BPM) framework for service composition in industry 4.0,,10.1007/s10845-018-1422-y,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2018,"G Fridgen, S Radszuwill, N Urbach, L Utz","Cross-Organizational Workflow Management Using Blockchain Technology: Towards Applicability, Auditability, and Automation",,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2019,"AS Erri Pradeep, TW Yiu, R Amor",Leveraging blockchain technology in a BIM workflow: A literature review,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2019,"NO Nawari, S Ravindran",Blockchain technologies in BIM workflow environment,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,2,corradiniEngineeringTrustableChoreographybased2020a,2020,"F Corradini, A Marcelletti, A Morichetta…",Engineering trustable choreography-based systems using blockchain,Engineering trustable choreography-based systems using blockchain,10.1145/3341105.3373988,ChorChain,MDE,Ethereum Smart Contract,BPMN Choreography diagram,"Task, X, +, Event-based Gateway, Message",FALSE,TRUE,TRUE,TRUE,TRUE,Role-based,Instantiation,1-1,TRUE,,Data-Based Routing,FALSE,TRUE,TRUE,FALSE,TRUE,Case Study,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"Roles can be defined ""optional"" so they don't have to be bound. Replication package (generated smart contract) is linked, but can not be accessed anymore. Etherscan link is included.",TRUE
FALSE,,,2019,"C Di Ciccio, A Cecconi, M Dumas…",Blockchain support for collaborative business processes,,10.1007/s00287-019-01178-x,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2019,"W Viriyasitavat, L Da Xu, Z Bi…",Blockchain and internet of things for modern business process in digital economy—the state of the art,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,3,weberUntrustedBusinessProcess2016a,2016,"I Weber, X Xu, R Riveret, G Governatori…",Untrusted business process monitoring and execution using blockchain,Untrusted business process monitoring and execution using blockchain,10.1007/978-3-319-45348-4_19,,MDE,Ethereum Smart Contract,BPMN Choreography diagram,"Task, +, X, Script Task",TRUE,FALSE,FALSE,TRUE,FALSE,Role-based,Instantiation,1-1,TRUE,,Naive Routing,FALSE,TRUE,TRUE,FALSE,TRUE,Case Study,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"Discusses Trust, Privacy, Off-Chaining (for large data payloads). Has two modes of operation: Perform data operations off-chain or on-chain. It supports escrow payment. It links to etherscan which enables to (at least partly) verify the evaluation.",TRUE
FALSE,,,2017,"O López-Pintado, L García-Bañuelos, M Dumas…",Caterpillar: A Blockchain-Based Business Process Management System.,,,,MDE,Ethereum Smart Contract,BPMN Process diagram,"Swimlane, Task, User, Script, Service Task, Parallel and Sequential, X, +, Event-based, Message and Signal Events, Throwing and Catching, Boundary interrupting and noninterrupting. ",TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,,Data-Based Routing,FALSE,FALSE,TRUE,FALSE,TRUE,Case Study,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"It suggests keeping sizeable data off-chain, and an on-chain link, with a hash for integrity.",
TRUE,4,madsenCollaborationAdversariesDistributed2018a,2018,"MF Madsen, M Gaub, T Høgnason…",Collaboration among adversaries: distributed workflow execution on a blockchain,Collaboration among adversaries: distributed workflow execution on a blockchain,,,Manual,Ethereum Smart Contract,Dynamic-Condtion Response Graph,,FALSE,TRUE,FALSE,FALSE,FALSE,Direct,Instantiation,,TRUE,Looseness,Naive Routing,FALSE,FALSE,TRUE,FALSE,FALSE,Case Study,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,"Uses calldata, gives some discussion on finality",TRUE
FALSE,,,2016,"F Milani, L García-Bañuelos, M Dumas",Blockchain and business process improvement,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2017,"P Rimba, AB Tran, I Weber, M Staples…",Comparing blockchain and cloud services for business process execution,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2019,"M Li, L Shen, GQ Huang",Blockchain-enabled workflow operating system for logistics resources sharing in E-commerce logistics real estate service,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2019,"SE Chang, YC Chen, TC Wu",Exploring blockchain technology in international trade: Business process re-engineering for letter of credit,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2019,"Y Wang, SK Lahiri, S Chen, R Pan, I Dillig…",Formal verification of workflow policies for smart contracts in azure blockchain,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2020,"A Celesti, A Ruggeri, M Fazio, A Galletta, M Villari…",Blockchain-based healthcare workflow for tele-medical laboratory in federated hospital IoT clouds,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2018,"AB Tran, Q Lu, I Weber",Lorikeet: A Model-Driven Engineering Tool for Blockchain-Based Business Process Execution and Asset Management.,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2019,"G Falazi, M Hahn, U Breitenbücher…",Modeling and execution of blockchain-aware business processes,,10.1007/s00450-019-00399-5,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2018,"DMEDM Hussein, M Hamed…",A blockchain technology evolution between business process management (BPM) and Internet-of-Things (IoT),,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,5,boreUsingBlockchainBased2019a,2019,"N Bore, A Kinai, J Mutahi, D Kaguma…",On using blockchain based workflows,On using blockchain based workflows,,,MDE,Hyperledger Chaincode,Undescribed workflow model,,TRUE,TRUE,FALSE,TRUE,TRUE,Role-based,Design Time,,TRUE,,Naive Routing,FALSE,FALSE,TRUE,TRUE,TRUE,Assertion,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Stores hash of large files and encryption key of externaly stored files. Evaluated by Assertion: a prototype is built to prove its feasability.,TRUE
TRUE,6,lopez-pintadoCaterpillarBusinessProcess2019a,2019,"O López‐Pintado, L García‐Bañuelos…",Caterpillar: a business process execution engine on the Ethereum blockchain,Caterpillar: a business process execution engine on the Ethereum blockchain,10.1002/spe.2702,Caterpillar,MDE,Ethereum Smart Contract,BPMN Process diagram,"Swimlane, Task, User, Script, Service Task, Parallel and Sequential, X, +, Event-based, Message and Signal Events, Throwing and Catching, Boundary interrupting and noninterrupting. ",TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,,Data-Based Routing,FALSE,FALSE,TRUE,FALSE,TRUE,Case Study,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"It suggests keeping sizeable data off-chain, and an on-chain link, with a hash for integrity.",TRUE
FALSE,,,2020,"JA Garcia-Garcia, N Sánchez-Gómez, D Lizcano…",Using blockchain to improve collaborative business process management: Systematic literature review,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2018,"B Carminati, C Rondanini…",Confidential business process execution on blockchain,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,7,lopez-pintadoDynamicRoleBinding2019a,2019,"O López-Pintado, M Dumas, L García-Bañuelos…",Dynamic role binding in blockchain-based collaborative business processes,Dynamic role binding in blockchain-based collaborative business processes,10.1007/978-3-030-21290-2_25,Caterpillar,MDE,Ethereum Smart Contract,"BPMN Process diagram, Binding Policy","Swimlane, Task, User, Script, Service Task, Parallel and Sequential, X, +, Event-based, Message and Signal Events, Throwing and Catching, Boundary interrupting and noninterrupting. ",TRUE,TRUE,TRUE,TRUE,TRUE,Dynamic,Run Time,1-1,TRUE,,Data-Based Routing,FALSE,FALSE,TRUE,FALSE,TRUE,Assertion,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
FALSE,,,2018,"CD Ciccio, A Cecconi, J Mendling, D Felix…",Blockchain-based traceability of inter-organisational business processes,,10.1007/978-3-319-94214-8_4,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,8,prybilaRuntimeVerificationBusiness2020a,2020,"C Prybila, S Schulte, C Hochreiner, I Weber",Runtime verification for business processes utilizing the Bitcoin blockchain,Runtime verification for business processes utilizing the Bitcoin blockchain,,,Unclear,Bitcoin,BPMN Choreography diagram,"Task, X, +",TRUE,FALSE,FALSE,FALSE,FALSE,Direct,Run Time,1-1,FALSE,,,FALSE,FALSE,TRUE,FALSE,TRUE,Case Study,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"Open Sourced, but link no accessible anymore. Focus on on-chain aspects, off-chain verification approach is not described (so it is unclear whether it is manual or not, but in theorey any conformance checking method could be used). Strictly, speaking resource allocation is not enforced on-chain but off-chain.",TRUE
FALSE,,,2020,"X Xu, Y Chen, Y Yuan, T Huang, X Zhang…",Blockchain-based cloudlet management for multimedia workflow in mobile cloud computing,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,9,luIntegratedModelDriven2021a,2021,"Q Lu, A Binh Tran, I Weber, H O'Connor…",Integrated model‐driven engineering of blockchain applications for business processes and asset management,Integrated model‐driven engineering of blockchain applications for business processes and asset management,10.1002/spe.2931,,MDE,Ethereum Smart Contract,"BPMN Process diagram, UML Class diagram","Task, User Task, Script Task, X, +",TRUE,TRUE,TRUE,TRUE,FALSE,,,,FALSE,,Data-Based Routing,FALSE,TRUE,TRUE,FALSE,TRUE,Case Study,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Allows the modeling of Fungible and Non-Fungible Tokens (ERC-20/72 compatible) through a Registry component, which they introduce as a custom BPMN object. The registry supports access control but there is no resource allocation for tasks. They compare the cast gost with the mean and median gas cost of Google BigQuery's Ethereum dataset (they find theirs is about 8% higher). They include their evaluation setup which enables to replicate it. ",TRUE
TRUE,10,nakamuraInterorganizationalBusinessProcesses2018a,2018,"H Nakamura, K Miyamoto, M Kudo",Inter-organizational business processes managed by blockchain,Inter-organizational business processes managed by blockchain,10.1007/978-3-030-02922-7_1,,MDE,Hyperledger Chaincode,"BPMN Process diagram, Statechart","Swimlane, Task, X",TRUE,FALSE,FALSE,FALSE,FALSE,Unclear,,,FALSE,,Naive Routing,FALSE,FALSE,TRUE,FALSE,FALSE,Case Study,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Transforms a BPMN like process model into statechart models, which are then interpreted. Cost is evaluated in terms of transitions requrie, that is, the size of the state transition system.",TRUE
TRUE,11,lopez-pintadoInterpretedExecutionBusiness2019a,2019,"O López-Pintado, M Dumas…",Interpreted execution of business process models on blockchain,Interpreted execution of business process models on blockchain,,Caterpillar,MDE,Ethereum Smart Contract,"BPMN Process diagram, Binding Policy","Swimlane, Task, User, Script, Service Task, Parallel and Sequential, X, +, O, Event-based, Message and Signal Events, Throwing and Catching, Boundary interrupting and noninterrupting. ",TRUE,TRUE,TRUE,TRUE,TRUE,Dynamic,Run Time,1-1,TRUE,,Data-Based Routing,FALSE,FALSE,TRUE,FALSE,TRUE,Case Study,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,"Based on dynamic role binding Caterpillar. In principal model adaptaion at run time is possible, but it is neither guaranteed to be consistent nor does it enforce agreement, this is left as future work, which is done in the journal paper.",TRUE
FALSE,,,2020,"P Rimba, AB Tran, I Weber, M Staples…",Quantifying the cost of distrust: Comparing blockchain and cloud services for business process execution,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2018,"W Chen, X Liang, J Li, H Qin, Y Mu…",Blockchain based provenance sharing of scientific workflows,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2018,"S Tönnissen, F Teuteberg",Using blockchain technology for business processes in purchasing− concept and case study-based evidence,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2018,"H Johng, D Kim, T Hill, L Chung",Using blockchain to enhance the trustworthiness of business processes: a goal-oriented approach,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2018,"B Carminati, E Ferrari…",Blockchain as a platform for secure inter-organizational business processes,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2020,"F Guggenmos, J Lockl, A Rieger…",How to develop a GDPR-compliant blockchain solution for cross-organizational workflow management: evidence from the German asylum procedure,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2020,"M Alles, GL Gray",“The first mile problem”: Deriving an endogenous demand for auditing in blockchain-based business processes,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,12,corradiniEngineeringTrustableAuditable2022a,2022,"F Corradini, A Marcelletti, A Morichetta…",Engineering Trustable and Auditable Choreography-based Systems Using Blockchain,Engineering Trustable and Auditable Choreography-based Systems Using Blockchain,10.1145/3505225,ChorChain,MDE,Ethereum Smart Contract,BPMN Choreography diagram,"Task, X, +, Event-based Gateway, Message",TRUE,TRUE,TRUE,TRUE,TRUE,Role-based,Instantiation,1-1,TRUE,,Data-Based Routing,FALSE,TRUE,TRUE,FALSE,TRUE,Case Study,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Extended Version of Corradini2020(A10). Extends the process evaluation (called auditing) capabilites. Performed a usability study based on interviews. Should be bundled with other work as this does not introduce anything new in our taxonomy.,TRUE
TRUE,13,lopez-pintadoControlledFlexibilityBlockchainbased2022a,2022,"O López-Pintado, M Dumas, L García-Bañuelos…",Controlled flexibility in blockchain-based collaborative business processes,Controlled flexibility in blockchain-based collaborative business processes,,Caterpillar,MDE,Ethereum Smart Contract,"BPMN Process diagram, Binding and Agreement Policies","Swimlane, Task, User, Script, Service Task, Parallel and Sequential, X, +, Event-based, Message and Signal Events, Throwing and Catching, Boundary interrupting and noninterrupting. ",TRUE,TRUE,TRUE,TRUE,TRUE,Dynamic,Run Time,1-1,TRUE,"Looseness, Adaptation",Data-Based Routing,FALSE,FALSE,TRUE,FALSE,TRUE,Case Study,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Journal paper and extension to dynamic role binding paper. Based on the compiled version of Caterpillar. ,TRUE
FALSE,,,2018,F Härer,Decentralized Business Process Modeling and Instance Tracking Secured by a Blockchain.,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,14,mercenneBlockchainStudioRolebased2018a,2018,"L Mercenne, KL Brousmiche…",Blockchain studio: a role-based business workflows management system,Blockchain studio: a role-based business workflows management system,,Caterpillar,MDE,Ethereum Smart Contract,BPMN Process diagram,"Swimlane, Task, User, Script, Service Task, Parallel and Sequential, X, +, Event-based, Message and Signal Events, Throwing and Catching, Boundary interrupting and noninterrupting. ",TRUE,TRUE,TRUE,TRUE,TRUE,Role-based,Run Time,,TRUE,,Data-Based Routing,FALSE,FALSE,TRUE,FALSE,TRUE,Case Study,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Fork of Caterpillar to enable resource perspective. They only consider human resources and integrate their implementation only with user tasks. They compare productivity in terms of development time and cost in terms of gas with a manually created approach. ,TRUE
FALSE,,,2018,"J Mendling, I Weber, WVD Aalst, JV Brocke…",Blockchains for business process management-challenges and opportunities,,10.1145/3183367,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2020,"A Ruggeri, M Fazio, A Celesti, M Villari",Blockchain-based healthcare workflows in federated hospital clouds,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,15,silvaDecentralizedEnforcementBusiness2019,2019,"D Silva, S Guerreiro, P Sousa",Decentralized enforcement of business process control using blockchain,Decentralized enforcement of business process control using blockchain,10.1007/978-3-030-06097-8_5,,Manual,Hyperledger Chaincode,Design and Engineering Methodology for Organizations,,FALSE,FALSE,FALSE,FALSE,TRUE,Role-based,Run Time,,TRUE,,Naive Routing,FALSE,FALSE,TRUE,FALSE,TRUE,Case Study,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Shows feasibility of a DEMO based approach.,TRUE
FALSE,,,2018,J Mendling,Towards blockchain support for business processes,,10.1007/978-3-319-94214-8_15,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2020,"M Müller, N Ostern, M Rosemann",Silver bullet for all trust issues? blockchain-based trust patterns for collaborative business processes,,10.1007/978-3-030-58779-6_1,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2022,"M Kherbouche, G Pisoni, B Molnár",Model to Program and Blockchain Approaches for Business Processes and Workflows in Finance,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2017,"G Fridgen, B Sablowsky, N Urbach",Implementation of a blockchain workflow management prototype,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2019,"JL Tilbury, E de la Rey…",Business process models of blockchain and South African real estate transactions,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2019,"YV Vertakova, TA Golovina, AV Polyanin",Synergy of blockchain technologies and “big data” in business process management of economic systems,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
