,,,,,,,,,,,,,BPMS Components (For Blockchain Tasks),,,,,Resource Allocation,,,,,,,,On-Chain Integrity,,,,Evaluatiom Metrics,,,,,,,,
TRUE,16,adamsFlexibleIntegrationBlockchain2020a,2020,"M Adams, S Suriadi, A Kumar…",Flexible integration of blockchain with business process automation: A federated architecture,Flexible integration of blockchain with business process automation: A federated architecture,10.1007/978-3-030-58135-0_1,,MDE,Hyperledger Chaincode,YAWL,,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,TRUE,FALSE,TRUE,Case Study,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"A connector to Fabric for YAWL, implemented as a YAWL custom service.",TRUE
FALSE,,,2022,"W Viriyasitavat, Z Bi, D Hoonsopon",Blockchain technologies for interoperation of business processes in smart supply chains,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2014,"P Snow, B Deery, J Lu, D Johnston…",Business processes secured by immutable audit trails on the blockchain,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,17,meroniTrustedArtifactDrivenProcess2019,2019,"G Meroni, P Plebani, F Vona",Trusted artifact-driven process monitoring of multi-party business processes with blockchain,Trusted artifact-driven process monitoring of multi-party business processes with blockchain,10.1007/978-3-030-30429-4_5,,Manual,Ethereum Smart Contract,Extended-Guard-Stage-Milestone,,FALSE,FALSE,FALSE,FALSE,TRUE,Direct,Instantiation,,FALSE,Looseness,,FALSE,FALSE,TRUE,TRUE,TRUE,Case Study,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"Includes a 5 block reorder buffer to tackle non-finality: transaction may be reordered, may arrive out of order. Thet include resource (smart object) addresses, but they do not enforce anything as state updates are only recorded.",TRUE
FALSE,,,2019,"M Li, GQ Huang",Blockchain-enabled workflow management system for fine-grained resource sharing in E-commerce logistics,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,18,alvesExploringBlockchainTechnology2020a,2020,"PHC Alves, R Paskin, IZ Frajhof, YR Miranda…",Exploring Blockchain Technology to Improve Multi-party Relationship in Business Process Management Systems.,Exploring Blockchain Technology to Improve Multi-party Relationship in Business Process Management Systems.,,,MDE,Hyperledger Chaincode,"BPMN Process diagram, DMN decision table",Unclear,TRUE,FALSE,FALSE,TRUE,FALSE,,,,FALSE,,,FALSE,FALSE,TRUE,FALSE,TRUE,Case Study,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Integrates with Camund to persist process traces and data on the blockchain. Evaluates the feasability. ,TRUE
TRUE,19,klingerUpgradeabilityConceptCollaborative2020a,2020,"P Klinger, L Nguyen, F Bodendorf",Upgradeability Concept for Collaborative Blockchain-Based Business Process Execution Framework,Upgradeability Concept for Collaborative Blockchain-Based Business Process Execution Framework,10.1007/978-3-030-59638-5_9,Klinger et al.,MDE,Ethereum Smart Contract,BPMN Collaboration diagram,Unclear,Unclear,FALSE,FALSE,FALSE,FALSE,Role-based,Run Time,,TRUE,Evolution,Naive Routing,FALSE,FALSE,TRUE,FALSE,FALSE,Case Study,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Introduces a versioning system, new versions can be voted on.",TRUE
FALSE,,,2019,"J Evermann, H Kim",Workflow Management on the Blockchain---Implications and Recommendations,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2019,"J Köpke, M Franceschetti, J Eder",Balancing privity and enforceability of bpm-based smart contracts on blockchains,,10.1007/978-3-030-30429-4_7,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2021,"A Lakhan, MA Mohammed, S Kozlov…",Mobile‐fog‐cloud assisted deep reinforcement learning and blockchain‐enable IoMT system for healthcare workflows,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2020,"H Johng, D Kim, G Park, JE Hong, T Hill…",Enhancing business processes with trustworthiness using blockchain: a goal-oriented approach,,10.1145/3341105.3374022,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2020,Y Piao,Case studies to determine the effect of applying blockchain technology and building information modeling on the workflow of water infrastructure projects,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2021,"A Demichev, A Kryukov, N Prikhod'ko","… process engineering for data storing and processing in a collaborative distributed environment based on provenance metadata, smart contracts and blockchain …",,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2019,SB Kahyaoğlu,An analysis on the implementation of new approaches and techniques in the auditing of business processes based on blockchain technologies,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2018,"V Pourheidari, S Rouhani…",A case study of execution of untrusted business process on permissioned blockchain,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2021,"L Spalazzi, F Spegni, A Corneli…",Blockchain based choreographies: The construction industry case study,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2020,"A Akhtar, B Shafiq, J Vaidya, A Afzal…",Blockchain based auditable access control for distributed business processes,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2022,"I Sarker, B Datta",Re-designing the pension business processes for achieving technology-driven reforms through blockchain adoption: A proposed architecture,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2022,"C Di Ciccio, G Meroni, P Plebani",On the adoption of blockchain for business process monitoring,,10.1007/s10270-021-00959-x,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2020,"S Heister, V LoRusso, K Yuthas",Blockchain systems and their potential impact on business processes,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2017,"T Hukkinen, J Mattila, T Seppälä",Distributed workflow management with smart contracts,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2018,"J Mendling, G Decker, R Hull, HA Reijers…","How do machine learning, robotic process automation, and blockchains affect the human factor in business process management?",,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2021,"DV Lyridis, GO Andreadis, C Papaleonidas…",A BPM-based framework for the impact assessment of blockchain to the midstream LNG supply chain,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2020,"CD Ciccio, G Meroni, P Plebani",Business process monitoring on blockchains: Potentials and challenges,,10.1007/978-3-030-49418-6_3,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2019,"D Fernando, S Kulshrestha, JD Herath…",Sciblock: A blockchain-based tamper-proof non-repudiable storage for scientific workflow provenance,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2016,NEWS WALES,Using blockchain to enable untrusted business process monitoring and execution,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2020,"R Coelho, R Braga, JMN David…",Blockchain for reliability in collaborative scientific workflows on cloud platforms,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2021,"W Chen, SM Bohloul, Y Ma, L Li",A blockchain-based information management system for academic institutions: a case study of international students' workflow,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2021,"I Abunadi, RL Kumar","Blockchain and Business Process Management in Health Care, Especially for COVID-19 Cases",,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2019,S Haarmann,Estimating the Duration of Blockchain-Based Business Processes Using Simulation.,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2019,"Y Fang, X Tang, M Pan, Y Yu",A workflow interoperability approach based on blockchain,,10.1007/978-3-030-38651-1_24,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,20,lichtensteinDataDrivenProcessChoreography2020,2020,"T Lichtenstein, S Siegert, A Nikaj, M Weske",Data-driven process choreography execution on the blockchain: a focus on blockchain data reusability,Data-driven process choreography execution on the blockchain: a focus on blockchain data reusability,10.1007/978-3-030-53337-3_17,,MDE,Ethereum Smart Contract,BPMN Choreography diagram with type and postcondition annotation,Unclear,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,Data-Based Routing,FALSE,FALSE,TRUE,FALSE,TRUE,Case Study,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Allows re-use of data but requires an additional modelling paradigm that requires the explicit modelling of postcondition states for each activity. ,TRUE
FALSE,,,2019,"S Migliorini, M Gambini, C Combi…",The rise of enforceable business processes from the hashes of blockchain-based smart contracts,,10.1007/978-3-030-20618-5_9,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2019,"Z Xu, Q Geng, H Cao, C Wang, X Liu",Uncertainty-aware workflow migration among edge nodes based on blockchain,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2020,"F Milani, L García-Bañuelos, HA Reijers, L Stepanyan",Business Process Redesign Heuristics for Blockchain Solutions.,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2021,"A Corneli, B Naticchia, F Spegni, L Spalazzi",COMBINING BLOCKCHAIN AND BPMN CHOREOGRAPHIES FOR CONSTRUCTION MANAGEMENT,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,21,morales-sandovalBlockchainSupportExecution2021a,2021,"M Morales-Sandoval, JA Molina…","Blockchain support for execution, monitoring and discovery of inter-organizational business processes","Blockchain support for execution, monitoring and discovery of inter-organizational business processes",,,MDE,Ethereum Smart Contract,BPMN Collaboration diagram,"Pools, Lanes, Tasks, X, +, O",TRUE,FALSE,FALSE,FALSE,FALSE,Role-based,Instantiation,1-1,TRUE,,Data-Based Routing,FALSE,FALSE,TRUE,FALSE,FALSE,Case Study,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"Allows XOR conditions but not storage of instance data. Data for conditions are supplied on task execution, per task (task data). A full list of supported BPMN elements is taken from the source code. repository (/smart contracts/...sol; line 202). It creates a process mining-ready on-chain event log. Evaluation is based on process mining metrics.",TRUE
TRUE,22,evermannWorkflowManagementProofofWork2021a,2021,"J Evermann, H Kim",Workflow Management on Proof-of-Work Blockchains: Implications and Recommendations,Workflow Management on Proof-of-Work Blockchains: Implications and Recommendations,10.1007/s42979-020-00387-6,,MDE,Bitcoin-based PoW Chain,Petri net,,TRUE,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Naive Routing,FALSE,FALSE,TRUE,TRUE,TRUE,Assertion,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"Cost in terms of CPU time needed to mine. Resource allocation is only enforced locally at each node, no on-chain enforcement. Adoptes existing WfMS system locally and connects them using a custom bitcoin-based blockchain.",TRUE
FALSE,,,2019,"A Meironke, T Seyffarth, J Damarowsky",Business Process Compliance and Blockchain: How Does the Ethereum Blockchain Address Challenges of Business Process Compliance?,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2021,"K Wittek, N Wittek, J Lawton, I Dohndorf…",A Blockchain-Based Approach to Provenance and Reproducibility in Research Workflows,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2021,"T Sato, T Shimosawa, Y Himura",OpsSC: Decentralized Blockchain Network Operation Workflow for Hyperledger Fabric,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2021,"J Heiss, A Busse, S Tai",Trustworthy Pre-processing of Sensor Data in Data On-Chaining Workflows for Blockchain-Based IoT Applications,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2021,"AA Simaremare, IA Aditya, FN Haryadi…",Suitability study of Blockchain application in electric utility company business processes,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2020,"I Garfatta, K Klai, M Graïet, W Gaaloul",Blockchain-based business processes: A solidity-to-cpn formal verification approach,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2020,"MS Al-Rakhami, M Al-Mashari","Blockchain and internet of things for business process management: theory, challenges, and key success factors",,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2019,R Zhao,An empirical analysis of supply chain BPM model based on blockchain and IoT integrated system,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2018,"F Milani, L Garcia-Banuelos",Blockchain and principles of business process re-engineering for process innovation,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2021,"A Mohammed, A Almousa, A Ghaithan, LA Hadidi",The Role of Blockchain in Improving the Processes and Workflows in Construction Projects,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,23,loukilDecentralizedCollaborativeBusiness2021a,2021,"F Loukil, K Boukadi, M Abed, C Ghedira-Guegan",Decentralized collaborative business process execution using blockchain,Decentralized collaborative business process execution using blockchain,10.1007/s11280-021-00901-7,,MDE,Ethereum Smart Contract,BPMN Choreography diagram,"Task, +, O, Sub-Process",FALSE,FALSE,FALSE,FALSE,FALSE,Role-based,Run Time,1-1,TRUE,,Naive Routing,FALSE,FALSE,TRUE,FALSE,FALSE,Case Study,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Open source repository link given but not available/reachable.  ,TRUE
FALSE,,,2022,"H Ritchi, A Bandana, Z Adrianto, A Alfian",Permissioned blockchain for business process visibility: A case of expenditure cycle,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2019,"B Kumalakov, Y Shakan, M Nakibayeva",Business processes and chains of Kazakhstan how do organisations start blockchain projects and evolve throughout?,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2018,"O López-Pintado, L García-Bañuelos…",Business process execution on blockchain,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2019,"J Evermann, H Kim",Workflow Management on BFT Blockchains,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2019,MEM van Wingerde,Towards Inter-Organizational Business Process Governance through Blockchain.,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2020,"MS Rahman, I Khalil, A Bouras",Formalizing Dynamic Behaviors of Smart Contract Workflow in Smart Healthcare Supply Chain,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2021,"F Milani, L Garcia-Banuelos, S Filipova…",Modelling blockchain-based business processes: a comparative analysis of BPMN vs CMMN,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2020,"MEM van Wingerde, H Weigand",An ontological analysis of artifact-centric business processes managed by smart contracts,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,24,corradiniModeldrivenEngineeringMultiparty2021a,2021,"F Corradini, A Marcelletti, A Morichetta, A Polini…",Model-driven engineering for multi-party business processes on multiple blockchains,Model-driven engineering for multi-party business processes on multiple blockchains,,ChorChain,MDE,"Ethereum Smart Contract, Hyperledger Chaincode",BPMN Choreography diagram,"Task, X, +, Event-based Gateway, Message",FALSE,TRUE,TRUE,TRUE,TRUE,Role-based,Instantiation,1-1,TRUE,,Data-Based Routing,FALSE,TRUE,TRUE,FALSE,TRUE,Case Study,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"Builds on previous work above, should be grouped together; also includes the optional roles as described above. They test latency, but for Ethereum, they do not state or discuss how many blocks they wait.",TRUE
FALSE,,,2020,"C Lauster, P Klinger, N Schwab, F Bodendorf",Literature Review Linking Blockchain and Business Process Management,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,25,evermannAdaptingWorkflowManagement2020a,2020,J Evermann,Adapting Workflow Management Systems to BFT Blockchains–The YAWL Example,Adapting Workflow Management Systems to BFT Blockchains–The YAWL Example,,,MDE,BFT-Smart-based P2P network,YAWL,,TRUE,TRUE,TRUE,TRUE,FALSE,,,,FALSE,,Naive Routing,FALSE,FALSE,TRUE,TRUE,TRUE,Assertion,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"In principal, data-based routing is possible in YAWL; however, it is not described in this paper if this aspect has been adopted and how.",TRUE
FALSE,,,2019,"M Markovska, FP Milani, L Garcia-Banuelos",Modelling Business Processes on a Blockchain Eco-System (BPMN),,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2021,"C Gómez, FJ Pérez Blanco, JM Vara, V De Castro…",Design and development of Smart Contracts for E-government through Value and Business Process Modeling,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2021,KB Yue,"A Blockchain-Inspired, Multi-Layered Transaction Model for Business Process Modeling",,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2018,C Cavaliere,A case study on the exploration of Blockchain potential: An exploratory research on the impact of the technology on business process and value configuration of a mid …,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2022,"H Gao, B Zhong",A blockchain-based framework for supporting BIM-based building code compliance checking workflow,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2021,"A Belhi, H Gasmi, A Hammi, A Bouras, B Aouni…",A Broker-Based Manufacturing Supply Chain Integration with Blockchain: Managing Odoo Workflows Using Hyperledger Fabric Smart Contracts,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2020,"C Rondanini, B Carminati, F Daidone…",Blockchain-based controlled information sharing in inter-organizational workflows,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2020,"V Posea, C Niţu, C Damian, A Panu…",GDPR compliant recruitment platform using smart contracts and executable choreographies,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2019,G Hofbauer,Blockchain applications in business processes exemplified for procurement,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2017,N van de Luijtgaarden,Optimizing the core business processes of financial asset management companies using blockchain technology,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,,,2020,M Bertolini,Enforcing commitments with blockchain: an approach to generate smart contracts for choreographed business processes,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
